index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
98,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,29.69041095890411,1.610958904109589,1,0,0,1,Sales staff,1.0,5.0,2.0
99,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,53.04931506849315,33.78630136986301,1,0,1,1,Medicine staff,1.0,35.0,2.0
100,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,60.58082191780822,23.263013698630136,1,0,0,0,Private service staff,2.0,9.0,2.0
101,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,53.865753424657534,8.345205479452055,1,1,1,0,Managers,2.0,2.0,1.0
102,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.61369863013699,1.6547945205479453,1,0,0,0,Managers,3.0,12.0,2.0
103,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,43.35616438356164,10.191780821917808,1,1,1,0,Managers,2.0,12.0,2.0
104,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,43.81917808219178,6.950684931506849,1,0,1,0,Sales staff,1.0,7.0,0.0
105,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27.353424657534248,7.13972602739726,1,0,0,0,Laborers,2.0,5.0,2.0
106,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,44.15890410958904,5.367123287671233,1,0,1,0,No job,3.0,47.0,2.0
107,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,25.506849315068493,4.597260273972603,1,0,0,0,No job,3.0,4.0,1.0
108,F,N,Y,0,153000.0,Working,Higher education,Single / not married,House / apartment,29.484931506849314,1.8712328767123287,1,0,1,0,Core staff,1.0,22.0,2.0
109,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,62.49589041095891,6.120547945205479,1,1,1,0,High skill tech staff,2.0,13.0,2.0
110,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,35.1945205479452,0.44931506849315067,1,0,0,0,Managers,2.0,57.0,2.0
111,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,44.31506849315068,6.495890410958904,1,0,0,0,Drivers,3.0,44.0,2.0
112,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,48.83835616438356,0.5506849315068493,1,0,1,0,Laborers,1.0,4.0,2.0
113,F,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47.62739726027397,3.117808219178082,1,0,0,0,Cooking staff,4.0,36.0,1.0
114,M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,31.682191780821917,8.065753424657535,1,0,0,1,Managers,4.0,43.0,2.0
115,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.31506849315068,0.0,1,0,0,0,No job,2.0,49.0,2.0
116,F,Y,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,39.224657534246575,7.536986301369863,1,0,0,0,Managers,3.0,11.0,2.0
117,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44.30958904109589,1.8465753424657534,1,0,0,0,Sales staff,2.0,27.0,2.0
118,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,50.02465753424657,15.76986301369863,1,0,1,0,Sales staff,2.0,47.0,2.0
119,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,33.95342465753425,5.079452054794521,1,1,1,0,Cooking staff,4.0,-0.0,1.0
120,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,58.895890410958906,0.0,1,0,0,0,No job,1.0,4.0,1.0
121,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,45.59178082191781,27.364383561643837,1,1,1,0,Sales staff,2.0,35.0,2.0
122,F,Y,Y,2,283500.0,State servant,Higher education,Married,House / apartment,35.347945205479455,11.287671232876713,1,0,0,0,Core staff,4.0,39.0,2.0
123,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,53.23561643835617,17.057534246575344,1,0,0,0,High skill tech staff,2.0,48.0,2.0
124,F,Y,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.534246575342465,9.197260273972603,1,0,0,0,Accountants,4.0,55.0,2.0
125,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34.2,11.065753424657535,1,0,0,0,Managers,2.0,42.0,2.0
126,F,Y,N,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,32.07945205479452,13.652054794520549,1,0,0,0,Laborers,2.0,45.0,2.0
127,M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,45.30684931506849,1.1232876712328768,1,0,1,1,Laborers,3.0,30.0,2.0
128,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,37.64657534246575,14.304109589041095,1,0,0,0,Laborers,3.0,38.0,1.0
129,M,N,N,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,48.04657534246575,4.791780821917809,1,0,0,0,Laborers,3.0,11.0,2.0
130,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.51780821917808,8.860273972602739,1,0,0,0,Laborers,1.0,1.0,0.0
131,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,38.98082191780822,14.602739726027398,1,0,1,0,No job,2.0,33.0,0.0
132,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,28.92876712328767,1.1753424657534246,1,1,1,0,Drivers,2.0,35.0,2.0
133,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.07671232876712,7.052054794520548,1,0,0,0,Managers,3.0,22.0,2.0
134,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,62.989041095890414,0.0,1,0,0,0,No job,1.0,6.0,2.0
135,M,Y,N,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,42.00821917808219,0.536986301369863,1,0,1,0,Managers,2.0,23.0,0.0
136,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34.63013698630137,1.093150684931507,1,0,0,0,Accountants,3.0,29.0,2.0
137,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.23561643835617,8.893150684931507,1,0,0,0,Sales staff,3.0,46.0,2.0
138,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,66.75890410958904,0.0,1,0,0,0,No job,2.0,2.0,0.0
139,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.23287671232877,2.6904109589041094,1,0,1,0,No job,2.0,39.0,2.0
140,M,Y,Y,1,180000.0,Working,Higher education,Married,With parents,32.64931506849315,4.602739726027397,1,1,0,0,Laborers,3.0,15.0,0.0
141,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,28.90684931506849,8.219178082191782,1,0,0,1,Core staff,3.0,12.0,2.0
142,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,61.52328767123288,5.298630136986302,1,0,1,0,Managers,2.0,11.0,2.0
143,F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.865753424657534,2.9342465753424656,1,0,0,1,Core staff,2.0,45.0,2.0
144,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,28.35890410958904,3.621917808219178,1,0,0,0,No job,2.0,8.0,2.0
145,F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,53.69315068493151,32.71232876712329,1,0,1,0,Medicine staff,2.0,7.0,2.0
146,F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,38.728767123287675,20.273972602739725,1,1,1,0,Managers,2.0,6.0,1.0
147,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,34.74246575342466,1.9424657534246574,1,0,0,0,Sales staff,2.0,11.0,1.0
148,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,39.71506849315068,2.213698630136986,1,0,1,0,No job,2.0,26.0,2.0
149,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,35.54520547945206,6.517808219178082,1,0,0,0,Laborers,4.0,49.0,1.0
150,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,32.602739726027394,7.747945205479452,1,0,0,0,Laborers,3.0,41.0,2.0
151,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.038356164383565,0.8602739726027397,1,0,0,0,Drivers,2.0,33.0,2.0
152,F,Y,Y,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,29.03287671232877,1.5726027397260274,1,1,0,0,Medicine staff,1.0,35.0,2.0
153,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.24657534246575,9.523287671232877,1,0,0,0,Drivers,2.0,32.0,1.0
154,F,N,N,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,51.69315068493151,30.117808219178084,1,1,0,0,No job,2.0,46.0,2.0
155,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55.78630136986301,0.0,1,0,0,0,No job,2.0,35.0,2.0
156,M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,45.83013698630137,2.410958904109589,1,0,0,0,Laborers,2.0,38.0,2.0
157,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.635616438356163,3.9643835616438357,1,0,0,0,No job,4.0,44.0,2.0
158,M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,29.46849315068493,6.4520547945205475,1,0,0,0,Core staff,3.0,39.0,2.0
159,F,N,Y,0,153000.0,Pensioner,Higher education,Married,House / apartment,59.9972602739726,0.0,1,0,1,0,No job,2.0,51.0,1.0
160,F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,46.94794520547945,3.4684931506849317,1,0,0,0,Sales staff,3.0,11.0,2.0
161,M,Y,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,36.89041095890411,2.2986301369863016,1,0,1,0,Managers,4.0,33.0,0.0
162,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,44.95616438356164,5.602739726027397,1,1,0,0,Managers,2.0,60.0,2.0
163,F,N,Y,0,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.394520547945206,0.0,1,0,0,0,No job,2.0,24.0,2.0
164,M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,57.02739726027397,2.271232876712329,1,0,0,1,Security staff,2.0,3.0,1.0
165,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,57.58082191780822,2.452054794520548,1,1,1,0,No job,2.0,4.0,1.0
166,F,N,Y,0,495000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59.16712328767123,0.0,1,0,1,0,No job,1.0,15.0,2.0
167,M,Y,N,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43.78082191780822,0.32602739726027397,1,1,1,0,Drivers,2.0,14.0,2.0
168,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,53.97808219178082,27.041095890410958,1,1,1,0,No job,2.0,21.0,1.0
169,F,N,Y,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,38.56712328767123,10.389041095890411,1,0,0,0,No job,2.0,3.0,1.0
170,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.78904109589041,1.8575342465753424,1,0,1,1,Core staff,3.0,60.0,2.0
171,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.463013698630135,2.3808219178082193,1,0,0,0,Private service staff,2.0,2.0,0.0
172,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.320547945205476,22.167123287671235,1,0,0,0,No job,3.0,49.0,1.0
173,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63.24931506849315,0.0,1,0,0,0,No job,2.0,19.0,0.0
